Date,Area Name,Road Name,Congestion_Level,Average_Speed,Incident_Reports,Road_Capacity_Utilization,Pedestrian_and_Cyclist_Count,Public_Transport_Usage,Traffic_Signal_Compliance,Traffic_Volume,Weather_Condition,Roadwork_Activity
2024-01-04,Marathahalli,Road_12,75.0,12.4,2,92.9,194,59.6,74.7,894,Haze,Major
2023-12-03,Koramangala,Road_11,77.8,14.3,0,84.7,116,44.1,65.5,4825,Clear,None
2023-02-25,Brigade Road,Road_9,68.5,24.4,2,85.4,77,74.4,85.1,2193,Haze,Major
2022-09-18,Electronic City,Road_2,70.5,20.7,1,59.5,220,50.4,88.9,2440,Rain,Major
2023-03-01,Electronic City,Road_6,78.3,8.4,1,87.5,58,42.8,89.3,4456,Clear,None
2022-01-24,Silk Board,Road_16,71.7,17.1,1,82.7,183,36.4,87.2,4137,Clear,None
2023-09-23,Brigade Road,Road_5,66.8,13.6,0,70.9,246,40.7,89.7,4106,Clear,None
2024-07-18,Silk Board,Road_13,72.4,16.6,1,86.1,235,35.6,77.7,2929,Cloudy,Minor
2024-03-28,Silk Board,Road_2,62.9,21.6,0,56.0,69,74.1,81.4,3694,Cloudy,None
2022-01-05,Indiranagar,Road_10,68.4,18.6,0,58.8,58,38.3,94.3,3163,Rain,Minor
2023-09-03,MG Road,Road_5,73.9,13.2,1,81.8,157,59.2,92.9,3648,Clear,None
2023-10-26,Electronic City,Road_9,96.4,11.9,0,100.0,130,43.7,75.0,4035,Cloudy,Minor
2023-01-31,Silk Board,Road_16,60.0,19.5,0,52.3,234,48.8,76.6,662,Clear,None
2022-12-03,Indiranagar,Road_10,65.1,20.9,1,67.8,163,54.7,75.1,2883,Cloudy,Minor
2023-05-08,Whitefield,Road_16,87.2,16.2,3,92.9,153,52.2,64.1,4268,Clear,None
2024-02-29,MG Road,Road_14,66.6,25.4,0,75.2,61,63.4,60.5,2465,Haze,Major
2022-12-24,MG Road,Road_7,80.7,8.0,0,80.0,150,74.8,87.0,4812,Rain,None
2022-05-19,MG Road,Road_12,66.4,24.9,0,72.2,191,53.6,65.7,3701,Clear,Minor
2024-08-07,MG Road,Road_15,58.4,30.2,1,56.3,218,33.6,86.4,2266,Clear,Minor
2024-06-01,Electronic City,Road_8,61.7,17.1,0,63.1,80,43.1,77.2,4980,Cloudy,Major
2022-03-22,Electronic City,Road_1,52.8,25.8,0,51.2,131,64.3,62.0,3515,Cloudy,Minor
2024-04-25,Silk Board,Road_9,74.6,17.7,2,84.1,117,56.4,89.8,2228,Rain,Minor
2023-05-26,Electronic City,Road_14,62.3,20.1,1,66.8,51,38.6,60.9,2024,Cloudy,Major
2023-02-08,Silk Board,Road_8,52.6,23.0,0,57.1,111,58.5,94.4,4112,Cloudy,Major
2024-01-01,Electronic City,Road_16,77.4,25.9,3,63.1,211,54.9,82.9,2480,Rain,Major
2022-05-28,Indiranagar,Road_16,91.9,11.2,0,83.6,107,52.0,94.5,4369,Rain,None
2023-01-31,Brigade Road,Road_4,63.1,20.4,0,78.3,103,67.0,61.3,4661,Clear,Minor
2022-12-21,Brigade Road,Road_1,72.8,20.5,3,66.4,71,40.6,81.8,1551,Haze,Minor
2023-05-10,Indiranagar,Road_16,62.6,21.5,0,71.3,172,40.7,89.8,3522,Cloudy,Minor
2024-05-16,MG Road,Road_14,46.8,27.9,0,50.0,109,38.4,63.0,3537,Rain,Minor
2024-02-15,Silk Board,Road_7,94.6,14.3,1,100.0,87,61.5,80.8,4989,Clear,Minor
2022-07-30,Electronic City,Road_15,70.9,22.5,0,89.3,149,30.8,75.9,4834,Cloudy,Major
2023-02-08,Whitefield,Road_8,49.7,26.2,0,54.6,119,40.6,71.4,4536,Haze,Major
2024-08-02,Whitefield,Road_9,79.4,11.9,0,86.6,198,44.5,65.4,2061,Haze,None
2023-06-24,Whitefield,Road_1,74.7,23.9,1,78.3,167,66.7,91.6,3535,Rain,Major
2022-06-14,Electronic City,Road_3,91.0,8.0,3,92.3,162,34.6,61.4,730,Clear,Minor
2023-03-13,Indiranagar,Road_16,67.6,17.2,0,81.5,177,32.7,84.4,2230,Rain,None
2023-04-16,Brigade Road,Road_5,77.8,13.6,0,82.7,128,30.1,77.8,1736,Rain,None
2023-02-19,Whitefield,Road_7,65.8,26.5,0,62.6,169,51.6,83.9,1591,Rain,None
2022-08-25,Silk Board,Road_6,56.3,25.5,0,52.4,236,32.1,64.8,592,Haze,None
2022-06-30,Indiranagar,Road_15,79.7,21.9,1,71.7,96,68.2,60.2,3155,Rain,Major
2023-03-16,Marathahalli,Road_10,65.5,20.9,0,63.4,82,50.5,81.1,4592,Haze,None
2024-02-20,Whitefield,Road_12,80.3,19.5,1,90.4,177,33.5,61.0,1929,Cloudy,Minor
2023-11-06,Electronic City,Road_1,57.6,25.8,1,76.1,83,56.7,64.4,3993,Clear,Major
2022-06-16,Silk Board,Road_1,70.7,19.9,0,65.3,160,56.3,64.4,4968,Cloudy,Major
2023-02-03,Indiranagar,Road_15,57.0,20.0,0,60.8,157,43.3,83.2,4895,Haze,None
2023-07-26,Indiranagar,Road_1,82.7,12.7,0,95.9,87,47.8,83.7,2990,Cloudy,Major
2022-09-14,MG Road,Road_10,55.1,24.9,0,57.5,201,65.8,78.2,2426,Rain,Major
2024-05-04,Indiranagar,Road_13,65.2,17.6,0,72.1,103,39.0,90.1,1302,Haze,Major
2022-11-25,Koramangala,Road_4,52.7,26.1,0,57.9,143,63.4,85.6,2902,Haze,Major
2022-04-11,Marathahalli,Road_8,65.4,27.8,1,64.4,136,31.0,94.3,3846,Haze,Minor
2024-06-13,MG Road,Road_12,71.6,17.1,1,79.5,227,57.1,92.7,2769,Rain,None
2022-12-29,Koramangala,Road_6,78.3,19.3,0,83.5,59,73.0,68.5,2027,Clear,None
2023-07-15,Electronic City,Road_13,64.7,20.7,0,76.3,226,51.1,69.1,1075,Clear,None
2024-07-09,Electronic City,Road_2,73.8,19.1,0,63.6,77,64.4,90.7,1826,Haze,Major
2023-08-13,Indiranagar,Road_16,55.9,30.4,0,52.2,246,54.9,63.4,4174,Haze,Major
2023-06-05,Marathahalli,Road_7,65.1,26.4,0,70.4,124,63.1,70.4,3129,Haze,Minor
2022-04-17,MG Road,Road_7,68.2,20.2,1,85.9,202,34.5,69.3,1300,Haze,Minor
2023-02-02,Koramangala,Road_11,81.7,18.5,3,81.7,193,41.0,65.6,1617,Clear,Major
2022-01-03,Indiranagar,Road_15,68.0,20.3,1,88.1,205,35.9,64.4,1321,Haze,None
2024-07-04,Electronic City,Road_14,76.7,17.8,0,86.4,224,35.4,92.1,635,Clear,None
2022-03-10,Brigade Road,Road_10,73.5,8.0,0,75.6,143,66.8,86.0,2168,Rain,Major
2024-06-02,Koramangala,Road_14,61.1,21.7,0,60.4,181,63.8,87.8,3302,Haze,None
2023-05-25,Koramangala,Road_15,73.7,16.2,1,78.4,137,50.6,64.5,2453,Clear,Major
2023-01-13,Silk Board,Road_8,77.4,12.2,2,74.4,64,72.8,72.0,2627,Cloudy,None
2024-08-04,Indiranagar,Road_11,77.6,21.3,4,71.3,219,72.6,72.8,3806,Cloudy,Minor
2023-06-24,Electronic City,Road_15,82.2,13.3,2,88.2,189,49.8,64.4,2336,Haze,None
2022-05-07,Whitefield,Road_11,79.1,15.3,1,87.1,181,68.7,68.6,4609,Cloudy,None
2022-09-22,Koramangala,Road_14,71.0,22.6,2,80.9,159,72.9,81.4,3656,Cloudy,None
2022-03-03,Whitefield,Road_11,84.3,13.4,1,90.9,114,69.4,81.4,2131,Rain,None
2024-03-30,Brigade Road,Road_14,58.5,24.9,0,71.3,212,41.0,91.9,2003,Haze,Major
2024-06-17,Whitefield,Road_14,55.1,35.5,0,58.5,245,50.5,68.4,3227,Cloudy,Minor
2022-09-05,Whitefield,Road_5,75.3,16.8,0,79.1,108,37.5,60.3,4372,Clear,Minor
2022-05-09,Electronic City,Road_13,72.1,18.9,0,75.5,217,74.9,66.7,4756,Clear,None
2023-08-18,Electronic City,Road_7,66.0,21.3,0,82.4,167,42.2,91.0,4058,Clear,Minor
2023-11-14,Electronic City,Road_2,80.8,19.9,1,83.6,216,59.4,94.7,606,Haze,None
2022-04-02,Marathahalli,Road_2,75.9,22.9,0,88.7,85,32.3,83.5,2411,Haze,Minor
2023-10-16,Whitefield,Road_13,60.5,29.8,0,75.9,216,66.1,77.2,1498,Haze,None
2024-04-23,Koramangala,Road_10,88.6,15.8,1,90.7,95,49.6,87.1,502,Clear,None
2023-12-18,Whitefield,Road_11,68.8,18.2,2,71.9,214,34.2,73.8,2955,Cloudy,Minor
2023-12-24,Whitefield,Road_6,68.9,11.6,0,74.0,132,39.4,86.3,1486,Haze,None
2022-11-20,MG Road,Road_2,82.2,14.0,2,95.5,85,50.2,73.8,1326,Haze,Major
2024-04-17,Brigade Road,Road_16,53.0,25.4,0,50.0,100,55.5,79.3,3806,Rain,Major
2023-03-22,Whitefield,Road_12,65.6,21.6,0,61.4,55,48.8,86.5,967,Haze,Minor
2023-01-05,Marathahalli,Road_3,74.4,22.4,0,82.7,177,33.0,60.0,3544,Clear,None
2024-01-13,Marathahalli,Road_15,77.4,16.9,1,81.2,179,32.7,67.5,2633,Cloudy,Minor
2023-10-15,Koramangala,Road_5,92.8,14.2,1,89.4,65,68.7,71.2,1106,Rain,Minor
2023-05-20,Koramangala,Road_1,78.6,16.8,0,90.7,121,71.8,63.5,3889,Clear,None
2023-08-18,Indiranagar,Road_8,55.7,30.7,0,71.3,188,74.9,61.5,2867,Clear,Minor
2023-03-26,Indiranagar,Road_6,76.7,13.7,0,86.2,239,52.4,77.3,1804,Haze,Major
2023-01-17,Electronic City,Road_13,63.5,25.3,0,68.7,246,69.0,80.6,964,Cloudy,Minor
2023-02-27,Silk Board,Road_7,70.8,14.0,1,72.5,136,50.3,79.9,2226,Rain,None
2023-06-17,Silk Board,Road_6,62.5,30.1,0,73.7,111,62.5,73.6,1247,Haze,None
2023-12-29,MG Road,Road_10,68.6,27.1,2,66.9,201,72.5,73.7,967,Haze,Major
2022-01-05,Marathahalli,Road_16,62.8,22.1,0,80.8,117,68.3,77.4,3845,Clear,Minor
2023-06-30,Electronic City,Road_1,57.1,28.3,0,61.9,207,42.2,65.6,2456,Haze,None
2023-05-31,Electronic City,Road_4,83.1,12.0,1,75.5,242,46.9,63.5,4451,Rain,Major
2022-08-23,Marathahalli,Road_8,40.2,19.8,0,50.0,162,48.8,64.1,4465,Haze,None
2022-10-01,MG Road,Road_2,76.8,19.6,0,96.5,151,61.1,65.7,2586,Cloudy,Major
2024-01-29,Indiranagar,Road_7,72.7,19.0,1,85.5,173,38.5,72.0,1335,Clear,Minor
2023-01-24,Brigade Road,Road_4,74.9,21.4,0,94.8,248,58.5,75.0,4421,Clear,Minor
2022-07-16,Whitefield,Road_1,57.6,21.9,0,81.1,156,43.6,91.6,2249,Clear,None
2024-03-14,Brigade Road,Road_13,74.2,17.5,0,94.5,63,55.5,73.9,4620,Haze,Minor
2022-06-15,Brigade Road,Road_2,80.3,12.4,0,82.3,243,34.2,90.4,1073,Cloudy,Minor
2024-07-25,MG Road,Road_3,74.9,20.3,0,67.0,110,54.5,91.5,2955,Clear,Major
2024-01-04,Electronic City,Road_12,69.2,21.2,0,72.9,146,34.0,62.7,3056,Haze,Major
2024-06-12,Electronic City,Road_4,90.7,8.0,0,91.4,106,39.8,78.1,4890,Cloudy,Major
2022-02-09,MG Road,Road_16,66.1,19.5,0,69.5,97,55.6,91.9,1673,Cloudy,Minor
2022-07-13,Silk Board,Road_13,65.0,18.9,2,87.8,144,49.7,93.1,1516,Haze,Minor
2022-04-29,Whitefield,Road_13,74.7,22.5,2,90.9,158,62.5,65.9,3718,Haze,Major
2022-04-14,Koramangala,Road_14,55.4,23.9,0,62.3,105,51.9,76.7,4976,Haze,Minor
2023-12-06,Brigade Road,Road_2,87.3,23.8,0,91.1,168,51.1,91.4,1772,Rain,Major
2024-02-29,Indiranagar,Road_13,68.7,20.5,0,70.6,88,58.4,72.2,4353,Rain,Minor
2024-06-11,MG Road,Road_11,59.8,18.9,1,68.4,242,50.7,67.5,3190,Cloudy,Minor
2022-07-10,Koramangala,Road_7,74.8,27.2,1,61.8,69,36.9,66.9,4802,Rain,None
2022-07-01,Whitefield,Road_9,74.0,22.6,0,85.2,226,51.5,65.2,2250,Rain,None
2022-05-03,Whitefield,Road_7,62.5,18.7,0,59.0,98,63.7,88.5,4019,Clear,Minor
2022-09-23,Electronic City,Road_14,88.9,8.0,1,96.5,98,63.8,71.0,1325,Rain,Minor
2023-02-26,Koramangala,Road_1,85.7,15.8,0,74.8,61,52.4,82.5,4685,Clear,Major
2023-03-29,Marathahalli,Road_16,67.2,26.3,1,70.7,172,30.7,76.7,2609,Rain,Minor
2023-06-30,Electronic City,Road_8,84.8,11.5,0,80.5,89,68.2,94.8,4068,Cloudy,Major
2022-06-03,Indiranagar,Road_15,72.8,16.3,2,77.0,112,43.3,65.9,1506,Clear,Major
2024-06-30,Indiranagar,Road_11,65.6,25.1,1,59.6,95,41.9,92.0,4153,Haze,None
2024-08-17,Whitefield,Road_11,58.7,27.4,1,58.6,212,49.5,68.9,3990,Haze,Minor
2022-12-30,MG Road,Road_10,52.6,30.7,0,50.0,122,31.7,67.3,4973,Haze,Minor
2024-01-07,Silk Board,Road_13,68.6,24.8,0,60.6,67,38.8,74.4,2458,Rain,Major
2023-09-09,MG Road,Road_9,61.2,24.8,0,69.3,98,41.1,85.5,4655,Clear,Major
2023-02-02,Brigade Road,Road_2,52.9,28.5,0,55.4,143,65.8,91.8,2924,Haze,Minor
2022-09-21,Whitefield,Road_10,69.5,32.3,1,75.1,130,48.0,61.2,4310,Clear,None
2023-02-21,MG Road,Road_11,84.1,17.1,2,90.6,206,69.0,70.7,945,Cloudy,Minor
2022-05-04,MG Road,Road_10,73.4,19.3,1,87.1,87,63.5,88.7,2873,Clear,Major
2023-02-11,Marathahalli,Road_5,52.1,31.4,0,57.5,73,47.8,87.5,4824,Haze,Major
2023-12-09,Koramangala,Road_13,70.4,21.9,0,73.5,140,62.5,92.1,4822,Clear,Major
2022-12-08,Electronic City,Road_6,94.6,12.8,0,100.0,177,69.4,69.9,2824,Haze,Minor
2024-07-29,Electronic City,Road_10,74.6,22.8,1,83.2,108,67.3,60.9,3463,Rain,None
2022-11-04,Brigade Road,Road_12,84.7,14.8,2,84.6,162,72.5,61.8,2119,Cloudy,Minor
2024-04-11,Whitefield,Road_9,63.6,20.9,0,58.6,209,40.4,61.0,1605,Rain,Major
2022-04-14,Electronic City,Road_12,45.1,27.4,0,52.0,177,58.8,67.1,577,Haze,Major
2022-12-02,MG Road,Road_1,77.7,20.2,3,81.8,108,34.1,64.2,1452,Rain,None
2022-03-26,Indiranagar,Road_16,71.2,19.7,2,68.6,64,58.7,78.3,4724,Cloudy,Minor
2022-11-29,Electronic City,Road_12,56.6,23.6,1,60.1,201,67.9,71.6,1608,Haze,Major
2024-04-26,Silk Board,Road_14,73.8,16.1,0,74.8,65,70.9,70.3,4931,Cloudy,None
2023-06-17,Whitefield,Road_6,90.5,8.6,1,100.0,173,60.7,62.6,3536,Haze,Minor
2023-02-22,Indiranagar,Road_7,80.1,15.7,1,77.8,67,54.6,86.6,4824,Rain,Minor
2023-08-18,Electronic City,Road_2,76.6,24.1,1,70.8,74,53.2,76.9,823,Cloudy,Major
2023-06-20,Whitefield,Road_8,83.3,19.9,0,75.6,143,34.3,60.0,3407,Rain,Minor
2023-12-06,MG Road,Road_9,66.1,19.6,0,68.5,243,58.2,71.4,1253,Rain,Minor
2022-10-05,Whitefield,Road_7,46.9,28.7,0,55.8,201,68.2,95.0,4131,Clear,Major
2022-08-29,Whitefield,Road_6,72.0,11.4,3,73.3,130,39.2,78.5,4698,Cloudy,Major
2024-06-20,Koramangala,Road_5,93.7,13.9,3,91.7,137,55.2,77.7,3090,Cloudy,Minor
2023-12-21,Electronic City,Road_11,62.2,26.7,0,62.5,156,50.1,68.0,4327,Clear,Major
2022-06-19,Brigade Road,Road_9,77.9,20.4,1,77.8,54,32.5,80.4,4123,Clear,None
2022-05-30,MG Road,Road_2,53.2,32.0,0,63.5,140,70.2,60.4,4112,Cloudy,None
2022-11-20,Marathahalli,Road_15,72.8,15.3,2,84.8,159,52.2,70.5,4644,Rain,Major
2022-08-04,Whitefield,Road_12,78.7,9.4,1,95.1,158,57.5,87.2,3398,Cloudy,Major
2022-02-14,Koramangala,Road_12,65.6,21.0,0,61.5,70,40.1,75.9,1230,Rain,None
2024-03-02,Koramangala,Road_3,68.3,23.6,1,81.9,153,30.5,86.7,4783,Cloudy,Major
2022-08-12,Koramangala,Road_15,81.1,20.7,3,90.5,244,36.9,85.9,3689,Clear,Major
2024-03-26,Silk Board,Road_3,83.5,19.2,2,88.1,243,39.9,76.2,1286,Cloudy,Major
2022-04-04,Marathahalli,Road_12,89.3,10.6,1,94.0,93,71.7,69.0,927,Cloudy,Minor
2022-05-25,Brigade Road,Road_9,48.4,24.6,0,50.0,133,63.9,70.0,2638,Cloudy,Minor
2023-12-04,Indiranagar,Road_14,57.7,22.5,1,70.0,154,69.8,77.1,1772,Clear,None
2023-10-23,Koramangala,Road_3,80.8,15.0,0,87.7,188,53.5,69.8,2364,Rain,None
2022-10-21,Silk Board,Road_10,79.2,23.6,0,69.1,124,50.5,73.8,3941,Haze,None
2023-05-25,Electronic City,Road_14,63.6,19.7,0,66.2,220,34.5,87.4,2395,Haze,Major
2024-07-29,Whitefield,Road_1,71.1,17.5,4,79.2,170,54.6,65.1,4071,Rain,None
2022-01-16,Brigade Road,Road_4,56.7,20.1,0,71.2,80,51.4,64.6,4901,Clear,None
2024-08-03,Silk Board,Road_16,69.7,22.5,0,69.4,103,52.6,94.0,4882,Rain,Major
2024-04-05,Marathahalli,Road_12,52.3,27.5,0,61.9,115,73.9,66.5,2888,Cloudy,None
2023-01-23,Koramangala,Road_1,83.8,11.7,0,85.1,128,41.9,72.4,2302,Rain,None
2023-03-24,Silk Board,Road_8,53.5,28.3,0,50.5,58,45.4,61.4,4550,Cloudy,Minor
2024-07-03,Marathahalli,Road_2,74.4,13.2,3,84.1,97,45.4,65.7,1002,Cloudy,Major
2022-06-20,Marathahalli,Road_13,81.6,15.1,1,86.3,238,40.8,69.6,987,Haze,None
2022-09-20,Whitefield,Road_5,69.6,17.0,0,75.0,88,34.0,60.9,1516,Clear,None
2024-08-09,MG Road,Road_10,79.3,19.1,1,83.6,63,68.0,91.3,3941,Clear,Minor
2023-11-17,Indiranagar,Road_13,80.4,23.0,0,79.0,211,64.7,63.3,1744,Cloudy,None
2024-01-10,Indiranagar,Road_11,63.9,23.5,1,80.1,245,31.9,75.7,2363,Rain,None
2024-03-27,Brigade Road,Road_7,70.8,22.5,1,76.6,135,52.6,74.6,2604,Rain,Minor
2022-05-26,Marathahalli,Road_1,96.5,20.6,2,97.3,51,73.5,89.3,4031,Clear,None
2023-06-21,Brigade Road,Road_9,73.8,17.8,0,88.9,83,35.2,79.7,2224,Cloudy,None
2023-07-28,Indiranagar,Road_6,81.2,19.5,1,83.3,125,72.2,91.3,1034,Rain,None
2022-04-26,Whitefield,Road_6,78.1,13.9,0,77.2,167,75.0,75.9,1915,Haze,None
2024-06-04,Electronic City,Road_13,88.0,9.9,3,100.0,197,38.6,91.4,2372,Haze,None
2023-08-11,Electronic City,Road_12,80.2,9.5,1,82.2,63,72.7,86.2,2309,Haze,Minor
2022-11-04,Koramangala,Road_14,99.0,8.0,1,100.0,158,47.4,66.9,1645,Cloudy,None
2022-11-13,Whitefield,Road_11,60.2,26.3,1,60.9,127,73.5,78.3,1053,Haze,Major
2022-02-26,MG Road,Road_6,64.8,29.4,1,76.1,138,35.7,86.3,3029,Clear,Minor
2024-03-11,Indiranagar,Road_12,71.1,20.7,3,70.0,223,39.7,90.1,3877,Cloudy,Minor
2022-06-30,Electronic City,Road_1,57.6,20.7,0,75.2,148,64.4,67.0,4496,Rain,None
2022-06-08,Koramangala,Road_16,58.3,22.1,0,70.8,191,62.8,61.5,4545,Clear,Major
2024-06-29,Silk Board,Road_16,69.0,16.1,1,79.4,207,49.4,80.9,2847,Cloudy,Major
2024-03-04,Marathahalli,Road_16,71.7,23.1,0,75.1,65,37.9,86.7,4210,Rain,Minor
2022-02-01,Brigade Road,Road_14,56.9,25.6,0,67.0,129,39.4,66.9,4937,Clear,Minor
2024-03-09,Electronic City,Road_8,73.2,21.2,0,87.0,166,61.0,90.4,4246,Rain,Minor
2022-03-08,Marathahalli,Road_11,75.4,23.3,1,89.5,50,68.8,89.2,798,Clear,None
2024-05-02,Whitefield,Road_1,59.3,25.7,0,50.0,61,65.8,77.1,626,Cloudy,Major
2022-05-25,Brigade Road,Road_7,79.9,18.5,2,87.2,202,48.8,72.8,1684,Rain,Minor
2023-02-15,Whitefield,Road_8,83.7,8.0,1,88.8,115,57.1,64.7,2533,Cloudy,Major
2022-08-17,MG Road,Road_2,73.1,19.7,0,77.9,85,32.0,86.2,4942,Clear,None
2022-11-26,MG Road,Road_10,45.3,25.3,0,50.0,201,41.6,66.6,2767,Clear,Minor
2023-07-27,Marathahalli,Road_10,77.5,18.5,2,82.2,199,44.8,92.6,1838,Cloudy,Major
2023-04-25,Brigade Road,Road_16,75.8,23.0,0,100.0,133,53.7,62.4,4328,Haze,Major
2022-07-10,Indiranagar,Road_2,68.6,18.2,2,86.4,219,64.1,89.0,3342,Haze,Major
2023-03-26,Brigade Road,Road_10,78.2,17.4,2,78.3,114,74.9,65.6,528,Clear,Major
2023-04-08,Marathahalli,Road_6,56.1,22.8,0,57.5,201,59.6,85.2,3133,Clear,Minor
2024-02-06,Whitefield,Road_13,76.9,19.2,0,75.0,174,53.7,90.6,2996,Cloudy,None
2023-07-23,Indiranagar,Road_7,49.6,33.1,0,50.0,242,45.2,75.6,3161,Haze,Major
2022-12-22,Indiranagar,Road_12,88.6,18.5,0,90.1,153,46.8,93.0,2217,Cloudy,Major
2022-04-12,Koramangala,Road_16,87.3,8.0,3,84.2,230,48.1,61.8,4815,Haze,Major
2023-09-15,Brigade Road,Road_15,58.3,23.1,1,69.3,154,60.7,93.3,2738,Haze,Major
2022-02-21,Whitefield,Road_14,76.5,22.2,1,74.9,186,35.4,63.4,2388,Cloudy,None
2022-12-12,Whitefield,Road_14,55.7,23.7,0,55.1,79,55.3,72.9,3971,Cloudy,None
2022-05-25,Brigade Road,Road_7,73.9,20.0,2,83.6,152,30.7,93.5,3607,Haze,Minor
2022-05-18,Koramangala,Road_13,73.8,24.7,1,77.9,125,41.2,78.5,4492,Rain,None
2022-06-16,Brigade Road,Road_8,79.2,16.8,1,78.1,201,42.8,84.2,4775,Haze,None
2022-09-03,Koramangala,Road_5,80.8,20.3,2,95.6,142,47.8,61.4,3767,Clear,Minor
2024-08-13,Silk Board,Road_2,71.5,13.1,2,71.8,102,68.7,64.3,3635,Clear,Major
2022-10-03,Electronic City,Road_1,95.7,10.0,0,100.0,217,45.0,65.8,1400,Rain,None
2024-01-07,Electronic City,Road_14,74.7,15.4,0,78.3,196,34.0,74.2,4609,Haze,Major
2023-02-23,Marathahalli,Road_16,66.2,20.6,1,77.5,132,57.6,68.1,4039,Cloudy,None
2024-05-01,Whitefield,Road_5,64.8,13.9,1,53.1,109,68.7,88.8,1388,Haze,Major
2024-05-23,Whitefield,Road_15,90.2,8.0,2,100.0,241,43.0,68.4,4970,Clear,Minor
2024-05-02,Electronic City,Road_14,72.1,24.8,1,80.2,99,38.9,85.1,4203,Haze,Major
2022-10-03,Brigade Road,Road_10,81.9,19.2,5,87.6,222,63.5,75.9,4599,Haze,None
2023-06-27,Electronic City,Road_7,85.5,19.8,2,86.1,86,66.3,91.3,2712,Cloudy,None
2023-01-09,Silk Board,Road_10,79.9,14.3,1,80.1,143,52.5,76.5,4027,Haze,Major
