Date,PM_2_5,T,Tm,TM,SLP,H,VV,V,VM
2021-07-03,8.0,20.6,13.3,20.6,1011.8,39.5,2.62,4.82,2.57
2021-07-04,31.5,13.2,8.3,13.2,1020.6,53.5,3.3,1.93,1.91
2021-07-05,16.3,20.3,13.9,20.3,1016.0,90.5,1.63,0.91,4.56
2021-07-06,22.5,26.8,20.1,26.8,1016.7,35.2,2.24,0.97,2.19
2021-07-07,8.0,23.7,14.4,23.7,1015.9,59.1,2.2,0.54,7.29
2021-07-08,37.7,30.9,23.2,30.9,1021.9,67.1,3.58,5.25,1.55
2021-07-09,54.4,30.1,22.8,30.1,1016.1,56.8,1.49,2.5,2.22
2021-07-10,8.0,21.0,13.5,21.0,1011.2,67.5,0.32,4.43,6.37
2021-07-11,43.6,25.6,14.5,25.6,1014.5,74.4,0.2,2.91,9.98
2021-07-12,8.0,27.8,20.1,27.8,1009.1,63.9,0.68,2.2,7.0
2021-07-13,19.9,21.4,14.3,21.4,1006.3,92.4,1.1,3.08,1.43
2021-07-14,42.2,22.6,15.6,22.6,1010.0,85.0,1.81,3.9,1.7
2021-07-15,8.0,26.0,21.9,26.0,1022.7,88.8,1.14,1.92,6.53
2021-07-16,49.2,26.1,16.0,26.1,1009.1,44.7,5.48,2.01,1.67
2021-07-17,12.7,25.3,19.0,25.3,1008.9,54.9,2.54,0.1,1.32
2021-07-18,45.5,22.1,14.0,22.1,1020.0,77.8,2.53,4.63,5.37
2021-07-19,15.9,24.3,19.0,24.3,1003.0,50.3,2.25,0.1,3.65
2021-07-20,17.7,24.2,14.2,24.2,1007.1,42.7,2.66,0.6,5.3
2021-07-21,8.0,22.8,15.1,22.8,1004.3,67.3,4.16,1.53,3.39
2021-07-22,30.7,30.0,20.3,30.0,1003.2,78.3,0.83,0.95,2.28
2021-07-23,32.7,20.5,12.4,20.5,1013.3,49.9,2.7,4.01,4.66
2021-07-24,8.7,21.3,15.7,21.3,1012.2,93.6,1.24,1.74,6.27
2021-07-25,12.3,28.3,16.8,28.3,1003.3,60.1,5.76,1.51,2.94
2021-07-26,10.9,24.7,15.3,24.7,1011.5,48.8,2.82,3.74,4.55
2021-07-27,40.1,14.4,10.2,14.4,1009.4,52.4,0.2,3.06,3.23
2021-07-28,14.0,20.2,15.0,20.2,1013.3,46.8,1.1,2.35,4.29
2021-07-29,15.6,24.4,13.7,24.4,1009.5,40.6,0.91,3.83,5.69
2021-07-30,13.7,27.1,19.1,27.1,996.1,62.3,1.89,1.61,2.97
2021-07-31,27.5,18.3,8.0,18.3,998.6,47.3,1.88,0.61,1.26
2021-08-01,8.0,25.3,16.0,25.3,1014.5,86.2,1.31,0.9,4.9
2021-08-02,8.0,25.5,21.0,25.5,1003.7,74.7,4.05,2.41,6.11
2021-08-03,28.4,25.6,20.9,25.6,1009.2,41.2,2.75,2.1,2.16
2021-08-04,17.8,25.0,19.1,25.0,1015.2,62.1,2.92,0.1,3.79
2021-08-05,41.2,17.1,12.9,17.1,991.0,39.6,1.51,3.05,0.5
2021-08-06,42.3,21.7,15.1,21.7,1002.6,90.8,5.86,1.0,2.59
2021-08-07,18.1,16.6,11.9,16.6,1023.8,74.9,0.2,3.41,6.22
2021-08-08,45.5,26.2,20.6,26.2,1008.7,55.6,0.37,3.18,2.66
2021-08-09,82.0,22.7,16.3,22.7,1016.4,40.7,3.23,0.54,4.74
2021-08-10,59.4,23.6,14.0,23.6,1018.1,58.0,0.85,1.54,2.49
2021-08-11,32.4,23.3,16.4,23.3,1015.7,64.4,3.11,3.08,4.91
2021-08-12,50.8,25.4,13.8,25.4,1017.4,83.5,0.2,3.23,2.55
2021-08-13,17.3,20.1,10.4,20.1,1000.7,51.7,3.05,0.1,5.5
2021-08-14,8.0,22.0,11.7,22.0,1009.4,91.5,5.27,0.97,4.49
2021-08-15,30.0,28.3,21.6,28.3,1018.1,85.1,4.18,1.08,3.28
2021-08-16,72.4,24.3,17.3,24.3,1027.9,66.9,1.28,2.88,1.64
2021-08-17,53.2,25.1,20.8,25.1,1005.0,66.9,2.52,0.83,5.14
2021-08-18,8.0,22.6,14.3,22.6,1007.8,84.3,0.66,2.71,3.64
2021-08-19,8.7,17.4,10.5,17.4,1012.9,55.0,2.6,3.27,6.07
2021-08-20,64.0,22.2,14.8,22.2,1018.2,52.1,4.19,2.01,6.39
2021-08-21,46.2,27.3,18.9,27.3,1013.2,51.0,2.84,3.19,2.98
2021-08-22,68.4,26.1,15.6,26.1,1009.3,90.0,5.55,1.63,1.45
2021-08-23,8.0,23.5,14.7,23.5,1011.7,69.3,1.0,2.42,5.34
2021-08-24,70.0,17.7,13.2,17.7,1012.4,62.8,2.47,1.68,0.5
2021-08-25,40.0,24.5,18.2,24.5,999.3,86.1,2.9,3.22,6.82
2021-08-26,12.0,28.5,19.2,28.5,1009.5,87.8,2.5,3.34,4.25
2021-08-27,21.2,26.1,14.9,26.1,1002.8,90.0,2.42,1.32,3.76
2021-08-28,9.7,32.0,24.0,32.0,1013.6,80.3,5.79,2.39,3.83
2021-08-29,32.6,28.2,17.2,28.2,1009.8,57.0,1.18,2.83,2.0
2021-08-30,70.4,21.7,14.7,21.7,1017.4,63.2,0.83,1.58,1.21
2021-08-31,28.4,26.8,15.6,26.8,1004.5,82.9,1.38,2.63,7.03
2021-09-01,8.0,25.8,15.5,25.8,1013.9,84.9,2.28,0.75,5.39
2021-09-02,27.5,19.5,15.4,19.5,1008.0,69.5,3.39,2.35,3.69
2021-09-03,49.6,25.9,20.9,25.9,1003.8,48.9,4.63,1.11,1.64
2021-09-04,9.1,23.6,14.0,23.6,1010.2,55.2,0.68,3.1,2.63
2021-09-05,23.2,22.9,18.5,22.9,1007.3,57.9,1.26,4.1,5.3
2021-09-06,8.0,25.4,16.0,25.4,1013.8,71.3,4.56,1.35,3.82
2021-09-07,8.0,27.1,17.0,27.1,1031.6,35.8,0.2,1.19,4.22
2021-09-08,8.0,19.7,12.5,19.7,1012.7,37.3,1.17,2.95,2.92
2021-09-09,12.5,15.9,10.5,15.9,1015.2,86.1,2.39,2.86,3.25
2021-09-10,31.0,21.4,11.5,21.4,1018.8,53.8,0.2,0.74,5.95
2021-09-11,67.8,21.9,17.2,21.9,1005.1,81.0,2.5,2.51,0.94
2021-09-12,48.5,30.9,21.3,30.9,999.2,51.2,1.52,0.1,5.62
2021-09-13,28.9,21.1,14.1,21.1,1011.1,47.5,2.65,0.75,2.48
2021-09-14,34.7,25.7,13.8,25.7,1023.4,78.5,3.7,2.63,4.97
2021-09-15,61.4,20.8,15.9,20.8,1002.4,36.4,0.43,1.59,5.04
2021-09-16,61.3,18.4,13.3,18.4,1007.1,76.4,0.72,2.07,0.54
2021-09-17,27.8,20.6,16.1,20.6,1001.9,86.0,5.31,0.39,7.12
2021-09-18,40.0,24.4,14.5,24.4,1018.3,64.8,1.1,1.64,6.1
2021-09-19,33.4,29.4,24.0,29.4,1014.3,78.0,5.64,1.12,0.5
2021-09-20,21.9,22.4,15.4,22.4,1007.3,72.6,3.39,3.9,3.87
2021-09-21,51.0,26.7,18.1,26.7,1010.6,80.2,1.13,3.46,1.23
2021-09-22,54.3,26.9,19.8,26.9,1003.9,88.8,3.21,2.89,4.57
2021-09-23,49.8,18.9,13.8,18.9,997.5,69.5,2.73,1.5,6.32
2021-09-24,42.3,18.0,8.0,18.0,998.4,56.8,6.23,1.38,4.15
2021-09-25,18.7,24.3,17.4,24.3,1020.3,52.8,4.86,0.88,4.55
2021-09-26,54.0,28.5,18.9,28.5,1004.4,67.2,2.42,3.38,1.42
2021-09-27,36.7,28.6,18.4,28.6,1013.7,46.0,3.23,3.03,5.13
2021-09-28,69.8,15.0,8.4,15.0,1007.9,36.3,1.05,0.1,3.24
2021-09-29,8.0,29.9,18.0,29.9,1021.5,45.2,2.13,1.15,2.43
2021-09-30,8.0,24.8,13.8,24.8,1008.6,38.8,2.1,0.93,4.32
2021-10-01,86.6,28.1,18.5,28.1,997.0,56.2,0.2,2.87,2.47
2021-10-02,41.6,17.6,13.5,17.6,1021.2,82.3,1.99,1.03,5.75
2021-10-03,14.4,21.3,11.5,21.3,998.7,93.2,6.35,0.81,5.9
2021-10-04,46.3,20.8,11.6,20.8,1008.1,52.3,5.4,0.1,4.76
2021-10-05,48.3,23.8,13.7,23.8,1017.0,58.0,3.13,2.83,0.5
2021-10-06,77.0,34.6,25.1,34.6,1018.1,94.5,2.32,1.03,2.83
2021-10-07,64.2,23.0,12.8,23.0,994.7,50.8,2.64,1.15,2.56
2021-10-08,87.2,21.6,11.2,21.6,1003.5,64.6,5.65,2.4,2.57
2021-10-09,29.3,29.7,20.3,29.7,1021.6,86.3,2.61,2.78,5.5
2021-10-10,78.9,21.7,11.8,21.7,1007.0,60.4,2.65,1.74,2.03
2021-10-11,8.0,18.0,12.2,18.0,1025.7,54.7,4.28,1.38,3.85
2021-10-12,47.1,22.2,11.7,22.2,1010.8,39.7,0.9,2.46,3.47
2021-10-13,65.5,23.3,16.0,23.3,1011.0,80.7,1.5,1.52,5.5
2021-10-14,56.2,31.8,21.1,31.8,1006.9,53.0,2.76,1.46,2.97
2021-10-15,59.6,26.4,16.7,26.4,1020.7,76.8,1.64,3.0,2.53
2021-10-16,68.1,26.5,15.1,26.5,1007.0,37.6,2.79,2.21,4.07
2021-10-17,26.1,18.1,8.0,18.1,994.8,50.5,4.2,2.33,3.22
2021-10-18,35.5,27.3,15.5,27.3,1005.3,39.2,4.28,1.98,5.91
2021-10-19,33.7,20.4,16.3,20.4,1013.7,86.6,2.86,1.19,2.44
2021-10-20,81.5,26.1,14.9,26.1,1021.7,61.6,3.3,1.52,8.71
2021-10-21,49.8,25.3,18.2,25.3,998.7,62.7,3.11,2.47,3.52
2021-10-22,10.7,15.5,10.2,15.5,998.4,70.8,4.23,5.39,5.76
2021-10-23,25.2,23.5,12.5,23.5,1006.9,59.6,2.23,3.16,5.22
2021-10-24,54.7,23.1,16.9,23.1,1021.6,87.2,1.81,0.33,7.24
2021-10-25,72.4,24.8,19.0,24.8,1011.4,51.0,2.62,1.77,5.04
2021-10-26,30.1,27.0,19.4,27.0,1007.7,43.3,1.84,2.98,3.46
2021-10-27,47.4,19.4,14.4,19.4,1017.2,68.0,3.52,2.5,0.69
2021-10-28,16.4,24.4,13.9,24.4,1000.5,85.0,2.14,2.46,3.14
2021-10-29,47.6,24.0,13.0,24.0,1014.7,57.8,1.81,0.7,4.34
2021-10-30,48.6,24.9,15.0,24.9,1014.7,37.2,3.31,4.98,3.4
2021-10-31,48.4,24.2,17.5,24.2,1011.0,46.7,4.58,1.7,2.44
2021-11-01,69.5,21.2,16.7,21.2,1009.6,91.1,2.16,2.93,7.94
2021-11-02,92.7,23.9,17.1,23.9,1018.2,48.3,4.12,1.86,4.52
2021-11-03,79.5,26.3,17.2,26.3,1003.7,71.9,1.49,0.1,4.14
2021-11-04,75.1,20.9,9.3,20.9,1016.9,35.6,5.0,4.25,1.59
2021-11-05,100.9,29.0,17.8,29.0,1017.5,61.6,1.61,1.01,2.49
2021-11-06,72.5,20.6,10.2,20.6,1014.6,94.4,2.4,1.91,4.77
2021-11-07,27.8,24.4,12.9,24.4,1010.3,89.8,3.9,1.93,4.03
2021-11-08,75.3,28.5,18.8,28.5,1019.0,67.4,2.73,2.05,5.04
2021-11-09,100.4,24.4,19.8,24.4,1017.0,66.2,4.38,1.97,0.5
2021-11-10,108.4,24.0,16.4,24.0,1008.4,92.3,5.65,2.6,0.86
2021-11-11,88.7,20.2,14.4,20.2,1001.6,72.2,2.6,1.58,3.17
2021-11-12,21.5,27.6,17.7,27.6,994.7,68.6,1.65,4.82,4.87
2021-11-13,70.3,28.9,20.4,28.9,1005.3,83.6,1.73,0.1,8.06
